entity_id,state,last_changed
sensor.washing_machine_power,55.567,2025-09-17T17:12:14.001Z
sensor.washing_machine_power,48.905,2025-09-17T17:12:19.328Z
sensor.washing_machine_power,52.204,2025-09-17T17:12:24.536Z
sensor.washing_machine_power,4.874,2025-09-17T17:12:29.147Z
sensor.washing_machine_power,48.562,2025-09-17T17:12:34.199Z
sensor.washing_machine_power,51.475,2025-09-17T17:12:39.303Z
sensor.washing_machine_power,59.945,2025-09-17T17:12:44.957Z
sensor.washing_machine_power,54.129,2025-09-17T17:12:49.353Z
sensor.washing_machine_power,49.753,2025-09-17T17:12:54.433Z
sensor.washing_machine_power,4.915,2025-09-17T17:12:59.502Z
sensor.washing_machine_power,43.63,2025-09-17T17:13:04.526Z
sensor.washing_machine_power,62.72,2025-09-17T17:13:14.612Z
sensor.washing_machine_power,53.449,2025-09-17T17:13:19.677Z
sensor.washing_machine_power,57.102,2025-09-17T17:13:24.725Z
sensor.washing_machine_power,37.918,2025-09-17T17:13:29.778Z
sensor.washing_machine_power,63.495,2025-09-17T17:13:34.850Z
sensor.washing_machine_power,52.887,2025-09-17T17:13:39.870Z
sensor.washing_machine_power,65.95,2025-09-17T17:13:49.968Z
sensor.washing_machine_power,61.034,2025-09-17T17:13:55.087Z
sensor.washing_machine_power,47.142,2025-09-17T17:14:00.071Z
sensor.washing_machine_power,4.865,2025-09-17T17:14:05.138Z
sensor.washing_machine_power,44.663,2025-09-17T17:14:10.179Z
sensor.washing_machine_power,53.356,2025-09-17T17:14:15.225Z
sensor.washing_machine_power,58.457,2025-09-17T17:14:20.285Z
sensor.washing_machine_power,685.748,2025-09-17T17:14:25.340Z
sensor.washing_machine_power,2557.253,2025-09-17T17:14:26.468Z
sensor.washing_machine_power,4.772,2025-09-17T17:15:06.926Z
sensor.washing_machine_power,65.142,2025-09-17T17:15:08.295Z
sensor.washing_machine_power,54.774,2025-09-17T17:15:13.091Z
sensor.washing_machine_power,58.509,2025-09-17T17:15:18.156Z
sensor.washing_machine_power,51.924,2025-09-17T17:15:23.246Z
sensor.washing_machine_power,47.056,2025-09-17T17:15:28.460Z
sensor.washing_machine_power,4.872,2025-09-17T17:15:38.416Z
sensor.washing_machine_power,49.742,2025-09-17T17:15:43.857Z
sensor.washing_machine_power,61.456,2025-09-17T17:15:48.476Z
sensor.washing_machine_power,48.242,2025-09-17T17:15:53.523Z
sensor.washing_machine_power,61.913,2025-09-17T17:15:58.546Z
sensor.washing_machine_power,42.983,2025-09-17T17:16:03.672Z
sensor.washing_machine_power,4.735,2025-09-17T17:16:08.664Z
sensor.washing_machine_power,52.642,2025-09-17T17:16:13.735Z
sensor.washing_machine_power,48.169,2025-09-17T17:16:23.809Z
sensor.washing_machine_power,59.352,2025-09-17T17:16:28.877Z
sensor.washing_machine_power,52.245,2025-09-17T17:16:33.929Z
sensor.washing_machine_power,4.748,2025-09-17T17:16:38.976Z
sensor.washing_machine_power,40.764,2025-09-17T17:16:44.034Z
sensor.washing_machine_power,49.751,2025-09-17T17:16:49.088Z
sensor.washing_machine_power,58.678,2025-09-17T17:16:59.169Z
sensor.washing_machine_power,54.238,2025-09-17T17:17:04.266Z
sensor.washing_machine_power,4.771,2025-09-17T17:17:09.292Z
sensor.washing_machine_power,53.151,2025-09-17T17:17:14.614Z
sensor.washing_machine_power,57.269,2025-09-17T17:17:19.895Z
sensor.washing_machine_power,46.61,2025-09-17T17:17:24.446Z
sensor.washing_machine_power,62.026,2025-09-17T17:17:29.527Z
sensor.washing_machine_power,38.104,2025-09-17T17:17:39.620Z
sensor.washing_machine_power,58.393,2025-09-17T17:17:44.642Z
sensor.washing_machine_power,63.558,2025-09-17T17:17:59.797Z
sensor.washing_machine_power,48.901,2025-09-17T17:18:04.865Z
sensor.washing_machine_power,45.99,2025-09-17T17:18:09.907Z
sensor.washing_machine_power,6.772,2025-09-17T17:18:14.959Z
sensor.washing_machine_power,59.462,2025-09-17T17:18:20.028Z
sensor.washing_machine_power,63.239,2025-09-17T17:18:25.070Z
sensor.washing_machine_power,57.282,2025-09-17T17:18:35.207Z
sensor.washing_machine_power,4.678,2025-09-17T17:18:45.270Z
sensor.washing_machine_power,48.06,2025-09-17T17:18:50.338Z
sensor.washing_machine_power,58.91,2025-09-17T17:18:55.582Z
